country,region,mountain_id,name,data_source,issue,elevationM_in_app,snow_forecast_elevation_m_live,base_m,summit_m,server_elevation_m,map_pin_terrain_m,metres_below_base,suggested_snow_elevation_m
US,bear-valley,bear-valley-mountain-resort,Bear Valley Mountain Resort,authored,Base entered as summit (authored),2012,1712,2012,2591,2591,2225,300,2302
US,big-bear,bear-mountain,Bear Mountain,authored,Base entered as summit (authored),2176,1876,2176,2685,2685,2178,300,2430
US,cache-valley,beaver-mountain,Beaver Mountain,authored,Base entered as summit (authored),2182,1882,2182,2701,2701,2412,300,2442
US,cottonwood-canyons,alta,Alta,authored,Base entered as summit (authored),2600,2300,2600,3374,3374,2604,300,2987
US,cottonwood-canyons,brighton-resort,Brighton,authored,Base entered as summit (authored),2669,2369,2669,3200,3200,2673,300,2934
US,grand-targhee,grand-targhee-resort,Grand Targhee Resort,authored,Base entered as summit (authored),2393,2093,2393,3006,3006,2416,300,2700
US,jackson-hole,jackson-hole-mtn-resort,Jackson Hole Mountain Resort,authored,Base entered as summit (authored),1924,1635,1924,3185,3185,1938,289,2554
US,jackson-hole,snow-king-mountain,Snow King Mountain,authored,Base entered as summit (authored),1901,1616,1901,2380,2380,1906,285,2140
US,jay-peak-nek,burke-mountain,Burke Mountain,authored,Base entered as summit (authored),369,314,369,996,996,398,55,682
US,jay-peak-nek,jay-peak,Jay Peak,authored,Base entered as summit (authored),553,470,553,1209,1209,997,83,881
US,killington-pico,killington-resort,Killington,authored,Base entered as summit (authored),355,302,355,1293,1293,1257,53,824
US,killington-pico,pico-mountain,Pico Mountain,authored,Base entered as summit (authored),610,518,610,1209,1209,772,92,910
US,mad-river-valley,mad-river-glen,Mad River Glen,authored,Base entered as summit (authored),488,415,488,1109,1109,570,73,798
US,mad-river-valley,sugarbush,Sugarbush,authored,Base entered as summit (authored),480,408,480,1244,1244,870,72,862
US,mammoth-lakes,mammoth-mountain,Mammoth Mountain,authored,Base entered as summit (authored),2423,2123,2423,3369,3369,3356,300,2896
US,north-lake-tahoe,palisades-tahoe,Palisades Tahoe,authored,Base entered as summit (authored),1890,1606,1890,2758,2758,1900,284,2324
US,north-lake-tahoe,sugar-bowl,Sugar Bowl,authored,Base entered as summit (authored),2098,1798,2098,2554,2554,2119,300,2326
US,ogden-valley,nordic-valley,Nordic Valley,authored,Base entered as summit (authored),1635,1390,1635,2152,2152,1545,245,1894
US,ogden-valley,snowbasin,Snowbasin,authored,Base entered as summit (authored),1925,1636,1925,2917,2917,1948,289,2421
US,okemo,okemo-mountain-resort,Okemo Mountain Resort,authored,Base entered as summit (authored),349,297,349,1019,1019,399,52,684
US,park-city,park-city-mountain,Park City Mountain,authored,Base entered as summit (authored),2073,1773,2100,3056,3056,2125,327,2578
US,provo,sundance-mountain-resort,Sundance Mountain Resort,authored,Base entered as summit (authored),1859,1580,1859,2515,2515,2003,279,2187
US,south-lake-tahoe,heavenly,Heavenly,authored,Base entered as summit (authored),1907,1621,1907,3068,3068,2023,286,2488
US,south-lake-tahoe,homewood-mountain-resort,Homewood Mountain Resort,authored,Base entered as summit (authored),1899,1614,1899,2401,2401,2197,285,2150
US,southern-vermont,bromley-mountain,Bromley Mountain,authored,Base entered as summit (authored),594,505,594,1001,1001,882,89,798
US,southern-vermont,stratton-mountain-resort,Stratton,authored,Base entered as summit (authored),571,485,571,1181,1181,651,86,876
US,stowe-smugglers-notch,smugglers-notch,Smugglers' Notch,authored,Base entered as summit (authored),314,270,314,1109,1109,416,44,712
US,stowe-smugglers-notch,stowe-mountain-resort,Stowe Mountain Resort,authored,Base entered as summit (authored),408,347,408,1340,1340,480,61,874
US,summit-county,breckenridge-resort,Breckenridge,authored,Base entered as summit (authored),2926,2626,2926,3914,3914,2961,300,3420
US,summit-county,loveland,Loveland,authored,Base entered as summit (authored),3245,2945,3245,3868,3868,3321,300,3556
US,bend,hoodoo-ski-area,Hoodoo Ski Area,catalogue,Forecast elevation = base (catalogue),1427,1213,1427,1737,1427,1428,214,1582
US,big-bear,snow-valley-mountain-resort,Snow Valley Mountain Resort,catalogue,Forecast elevation = base (catalogue),2073,1773,2073,2393,2073,2048,300,2233
US,bighorn-mountains,antelope-butte-mountain-recreation-area,Antelope Butte Mountain Recreation Area,catalogue,Forecast elevation = base (catalogue),2560,2260,2560,2865,2560,2581,300,2712
US,boulder-front-range,echo-mountain,Echo Mountain,catalogue,Forecast elevation = base (catalogue),3063,2763,3063,3246,3063,3174,300,3154
US,casper,hogadon-basin-ski-area,Hogadon Basin Ski Area,catalogue,Forecast elevation = base (catalogue),2256,1956,2256,2438,2256,2409,300,2347
US,cloudcroft,ski-cloudcroft,Ski Cloudcroft,catalogue,Forecast elevation = base (catalogue),2560,2260,2560,2774,2560,2555,300,2667
US,cordova,mt-eyak-ski-area,Mt. Eyak Ski Area,catalogue,Forecast elevation = base (catalogue),15,100,15,366,15,121,,190
US,durango,silverton-mountain,Silverton Mountain,catalogue,Forecast elevation = base (catalogue),3170,2870,3170,4111,3170,3154,300,3640
US,eastern-oregon,anthony-lakes-mountain-resort,Anthony Lakes Mountain Resort,catalogue,Forecast elevation = base (catalogue),2164,1864,2164,2438,2164,2182,300,2301
US,fairbanks,moose-mountain-ski-resort,Moose Mountain Ski Resort,catalogue,Forecast elevation = base (catalogue),213,199,213,606,213,204,14,410
US,fairbanks,ski-land,Ski Land,catalogue,Forecast elevation = base (catalogue),396,337,396,741,396,454,59,568
US,fresno-china-peak,china-peak-mountain-resort,China Peak Mountain Resort,catalogue,Forecast elevation = base (catalogue),2149,1849,2149,2652,2149,2182,300,2400
US,girdwood,arctic-valley-ski-area,Arctic Valley Ski Area,catalogue,Forecast elevation = base (catalogue),762,648,762,1188,762,814,114,975
US,girdwood,hilltop-ski-area-and-bike-park,Hilltop Ski Area and Bike Park,catalogue,Forecast elevation = base (catalogue),75,103,75,179,75,285,,127
US,glenwood-springs,sunlight-mountain-resort,Sunlight Mountain Resort,catalogue,Forecast elevation = base (catalogue),2403,2103,2403,3016,2403,2485,300,2710
US,grand-mesa,powderhorn-mountain-resort,Powderhorn Mountain Resort,catalogue,Forecast elevation = base (catalogue),2499,2199,2499,3002,2499,2496,300,2750
US,great-falls-showdown,showdown-montana,Showdown Montana,catalogue,Forecast elevation = base (catalogue),2073,1773,2073,2499,2073,2217,300,2286
US,helena-great-divide,great-divide-ski-area,Great Divide Ski Area,catalogue,Forecast elevation = base (catalogue),1777,1510,1777,2234,1777,1820,267,2006
US,idaho-falls-kelly-canyon,kelly-canyon-resort,Kelly Canyon Resort,catalogue,Forecast elevation = base (catalogue),1707,1451,1707,2012,1707,1804,256,1860
US,kern-river,alta-sierra-ski-resort-and-terrain-park,Alta Sierra Ski Resort and Terrain Park,catalogue,Forecast elevation = base (catalogue),1981,1684,1981,2161,1981,2061,297,2071
US,laramie-snowy-range,snowy-range-ski-area,Snowy Range Ski Area,catalogue,Forecast elevation = base (catalogue),2682,2382,2682,2945,2682,2780,300,2814
US,las-vegas-lee-canyon,lee-canyon,Lee Canyon,catalogue,Forecast elevation = base (catalogue),2640,2340,2640,2856,2640,2647,300,2748
US,libby-northwest-montana,turner-mountain-ski-area,Turner Mountain Ski Area,catalogue,Forecast elevation = base (catalogue),1171,995,1171,1814,1171,1410,176,1492
US,los-alamos-pajarito,pajarito-mountain-ski-area,Pajarito Mountain Ski Area,catalogue,Forecast elevation = base (catalogue),2743,2443,2743,3182,2743,2816,300,2962
US,missoula,montana-snowbowl,Montana Snowbowl,catalogue,Forecast elevation = base (catalogue),1524,1295,1524,2316,1524,1527,229,1920
US,north-lake-tahoe,boreal-mountain-california,Boreal Mountain California,catalogue,Forecast elevation = base (catalogue),2195,1895,2195,2347,2195,2228,300,2271
US,north-lake-tahoe,donner-ski-ranch,Donner Ski Ranch,catalogue,Forecast elevation = base (catalogue),2143,1843,2143,2442,2143,2150,300,2292
US,north-lake-tahoe,granlibakken-tahoe-ski-snowboard-hill,Granlibakken Tahoe Ski & Snowboard Hill,catalogue,Forecast elevation = base (catalogue),1951,1658,1951,2015,1951,2016,293,1983
US,north-lake-tahoe,soda-springs-mountain-resort,Soda Springs Mountain Resort,catalogue,Forecast elevation = base (catalogue),2042,1742,2042,2241,2042,2062,300,2142
US,olympic-peninsula,hurricane-ridge-ski-snowboard-area,Hurricane Ridge Ski & Snowboard Area,catalogue,Forecast elevation = base (catalogue),1463,1244,1463,1676,1463,1606,219,1570
US,pagosa-wolf-creek,wolf-creek-ski-area,Wolf Creek Ski Area,catalogue,Forecast elevation = base (catalogue),3139,2839,3139,3628,3139,3253,300,3384
US,park-city,woodward-park-city,Woodward Park City,catalogue,Forecast elevation = base (catalogue),1981,1684,1981,2134,1981,1964,297,2058
US,pinedale,white-pine-resort,White Pine Resort,catalogue,Forecast elevation = base (catalogue),2560,2260,2560,2896,2560,2573,300,2728
US,pocatello-southeast-idaho,pebble-creek-ski-area,Pebble Creek Ski Area,catalogue,Forecast elevation = base (catalogue),1939,1648,1939,2609,1939,2028,291,2274
US,red-river,red-river-ski-summer-area,Red River Ski & Summer Area,catalogue,Forecast elevation = base (catalogue),2667,2367,2667,3155,2667,2677,300,2911
US,ruidoso,ski-apache,Ski Apache,catalogue,Forecast elevation = base (catalogue),2926,2626,2926,3475,2926,2987,300,3200
US,salida-monarch,monarch-mountain,Monarch Mountain,catalogue,Forecast elevation = base (catalogue),3290,2990,3290,3630,3290,3304,300,3460
US,san-gabriel-mountains,mt-baldy-resort,Mt Baldy Resort,catalogue,Forecast elevation = base (catalogue),1981,1684,1981,2621,1981,2018,297,2301
US,silver-valley,lookout-pass-ski-and-recreation-area,Lookout Pass Ski and Recreation Area,catalogue,Forecast elevation = base (catalogue),1372,1166,1372,1875,1372,1450,206,1624
US,silver-valley,silver-mountain-resort,Silver Mountain Resort,catalogue,Forecast elevation = base (catalogue),1250,1062,1250,1920,1250,695,188,1585
US,sonora-dodge-ridge,dodge-ridge-mountain-resort,Dodge Ridge Mountain Resort,catalogue,Forecast elevation = base (catalogue),2012,1712,2012,2499,2012,1999,300,2256
US,southern-idaho-magic-valley,pomerelle-mountain-resort,Pomerelle Mountain Resort,catalogue,Forecast elevation = base (catalogue),2366,2066,2366,2671,2366,2357,300,2518
US,southern-oregon,mt-ashland-ski-area,Mt. Ashland Ski Area,catalogue,Forecast elevation = base (catalogue),1938,1647,1938,2296,1938,1991,291,2117
US,southern-utah,brian-head-resort,Brian Head Resort,catalogue,Forecast elevation = base (catalogue),2926,2626,2926,3344,2926,2932,300,3135
US,southwest-montana-discovery,discovery-ski-area,Discovery Ski Area,catalogue,Forecast elevation = base (catalogue),1759,1495,1759,2484,1759,2102,264,2122
US,spokane,49-degrees-north-mountain-resort,49° North Mountain Resort,catalogue,Forecast elevation = base (catalogue),1195,1016,1195,1768,1195,1193,179,1482
US,spokane,mt-spokane-ski-snowboard-park,Mt. Spokane Ski & Snowboard Park,catalogue,Forecast elevation = base (catalogue),1274,1083,1274,1793,1274,1346,191,1534
US,summit-county,cooper,Cooper,catalogue,Forecast elevation = base (catalogue),3200,2900,3200,3566,3200,3216,300,3383
US,sun-valley,soldier-mountain,Soldier Mountain,catalogue,Forecast elevation = base (catalogue),1754,1491,1754,2188,1754,1772,263,1971
US,taos,sipapu-ski-summer-resort,Sipapu Ski & Summer Resort,catalogue,Forecast elevation = base (catalogue),2499,2199,2499,2821,2499,2544,300,2660
US,tucson-mount-lemmon,mount-lemmon-ski-valley,Mount Lemmon Ski Valley,catalogue,Forecast elevation = base (catalogue),2529,2229,2529,2791,2529,2675,300,2660
US,wenatchee,mission-ridge-ski-board-resort,Mission Ridge Ski & Board Resort,catalogue,Forecast elevation = base (catalogue),1399,1189,1399,2079,1399,1412,210,1739
US,white-pass,white-pass-ski-area,White Pass Ski Area,catalogue,Forecast elevation = base (catalogue),1372,1166,1372,1981,1372,1363,206,1676
US,whitefish,blacktail-mountain-ski-area,Blacktail Mountain Ski Area,catalogue,Forecast elevation = base (catalogue),1628,1384,1628,2067,1628,1998,244,1848
US,willamette-pass,willamette-pass-resort,Willamette Pass Resort,catalogue,Forecast elevation = base (catalogue),1561,1327,1561,2036,1561,1567,234,1798
US,wrightwood,mountain-high-resorts,Mountain High Resorts,catalogue,Forecast elevation = base (catalogue),2012,1712,2012,2500,2012,2106,300,2256
US,yosemite,badger-pass-ski-area,Badger Pass Ski Area,catalogue,Forecast elevation = base (catalogue),2195,1895,2195,2377,2195,2208,300,2286
CA,canada-british-columbia,manning-park-resort,Manning Park Resort,catalogue,Mid-mountain calc drops below base,1570,1334,1350,1789,1570,1447,16,1570
CA,canada-manitoba,asessippi-ski-area-and-resort,Asessippi Ski Area & Resort,catalogue,Mid-mountain calc drops below base,518,440,457,579,518,442,17,518
CA,canada-ontario,adanac-ski-hill,Adanac Ski Hill,catalogue,Mid-mountain calc drops below base,305,263,270,340,305,282,7,305
CA,canada-ontario,bethany-ski-resort,Bethany Ski Resort,catalogue,Mid-mountain calc drops below base,318,273,274,362,318,292,1,318
CA,canada-ontario,boler-mountain,Boler Mountain,catalogue,Mid-mountain calc drops below base,295,257,262,328,295,294,5,295
CA,canada-ontario,chicopee,Chicopee,catalogue,Mid-mountain calc drops below base,342,291,314,370,342,344,23,342
CA,canada-ontario,hockley-valley-resort,Hockley Valley Resort,catalogue,Mid-mountain calc drops below base,360,306,324,396,360,329,18,360
CA,canada-ontario,horseshoe-resort,Horseshoe Resort,catalogue,Mid-mountain calc drops below base,356,303,309,402,356,312,6,356
